naslov,avtor,nova poglavja,nove besede,poglavja,besede,zadnja objava,prva objava,teden zadnje objave,quest,zaključen 
Howl the Wolves,S0ngD0g13,62,76000,62,76000,2018-02-24,2018-10-22,2018-02-24,False,False
I Am Skitter,BeaconHill,1,2100,14,32000,2018-02-24,2016-08-03,2018-02-24,False,False
I Am Ziz,TCGM,2,2000,3,4000,2018-02-24,2018-02-04,2018-02-24,False,False
Imperator,JonBerry,8,14000,37,69000,2018-02-24,2018-02-03,2018-02-24,False,False
Infection,Mglakoe,1,1100,4,4600,2018-02-24,2018-01-03,2018-02-24,False,False
Insatiable,Nuhuh,1,1300,12,23000,2018-02-24,2016-03-26,2018-02-24,False,False
Let&apos;s Play a Game,ShadowArchon456,1,4800,6,16000,2018-02-24,2018-02-05,2018-02-24,False,False
Madgirl in a Wormverse,Richpad,2,2900,20,70000,2018-02-24,2018-11-20,2018-02-24,False,False
Mask,LightDarn,1,2600,10,30000,2018-02-24,2018-10-12,2018-02-24,False,False
Mauling Snarks,CmptrWz,83,369000,83,369000,2018-02-24,2018-09-04,2018-02-24,False,False
Metastable,Tascion,1,1500,15,28000,2018-02-24,2018-01-01,2018-02-24,False,False
Mixed Feelings,Kittius,65,651000,65,651000,2018-02-24,2016-02-04,2018-02-24,False,False
Monsters Within Us,UndyingRevenge,5,14000,5,14000,2018-02-24,2018-02-01,2018-02-24,False,False
"New Litter, Lucky Seven",ScottotheUnwise,1,4900,43,174000,2018-02-24,2018-09-05,2018-02-24,False,False
Nidhog,Mglakoe,1,86,9,11000,2018-02-24,2018-12-10,2018-02-24,False,False
Not Nice,DMfromTheAbyss,4,8500,12,49000,2018-02-24,2018-11-16,2018-02-24,False,False
Overpowered,Stravick Ovmahn,1,2300,22,45000,2018-02-24,2018-10-08,2018-02-24,False,False
Peace through Power,Vherstinae,1,3200,5,6300,2018-02-24,2018-02-04,2018-02-24,False,False
Pick Your Poison,GameJunkie7,1,3600,30,101000,2018-02-24,2018-07-20,2018-02-24,False,False
Playing Hooky,Somewhat Disinterested,1,1600,24,61000,2018-02-24,2018-07-17,2018-02-24,False,False
A Practical Guide to Escalation,NotZiz,3,5100,17,28000,2018-02-24,2018-04-23,2018-02-24,False,False
The Price of a Mile,Mrwizard,1,208,12,15000,2018-02-24,2018-01-14,2018-02-24,False,False
The Pride Lion,zaraqui kenpachi,1,5500,2,10000,2018-02-24,2018-02-08,2018-02-24,False,False
A Prison of Glass,McSwazey,2,4600,44,81000,2018-02-24,2017-01-24,2018-02-24,False,False
Queen Coordinator,ManMagnificent,46,113000,46,113000,2018-02-24,2018-12-09,2018-02-24,False,False
Queen Of The Cards,Catamboc,3,14000,7,35000,2018-02-24,2018-02-18,2018-02-24,False,False
Reconstruction,Stravick Ovmahn,1,1900,70,165000,2018-02-24,2018-08-20,2018-02-24,False,False
Rider,TigerTitian,3,4300,7,10000,2018-02-24,2018-02-18,2018-02-24,False,False
Ring-Maker,LithosMaitreya,79,199000,79,199000,2018-02-24,2018-04-21,2018-02-24,False,False
Rise of Titan,ZFighter18,1,104,70,250000,2018-02-24,2015-11-07,2018-02-24,False,False
Roar,OldAmsterdam,1,2300,3,6100,2018-02-24,2018-02-04,2018-02-24,False,False
Samyaza,ajf115,1,2400,9,21000,2018-02-24,2018-12-31,2018-02-24,False,False
Sefirot,Stravick Ovmahn,1,2400,10,24000,2018-02-24,2018-02-04,2018-02-24,False,False
Reality Intrudes,Selector,1,1500,9,15000,2018-02-24,2018-11-27,2018-02-24,False,False
Self Insertion,Istaran,1,930,104,112000,2018-02-24,2018-06-24,2018-02-24,False,False
Setanta,Ritic,2,9500,152,739000,2018-02-24,2015-08-13,2018-02-24,False,False
Shadow of the Bay,jacobk,2,12000,5,25000,2018-02-24,2018-02-13,2018-02-24,False,False
Silencio,DeviantD,1,1900,102,177000,2018-02-24,2014-02-23,2018-02-24,False,False
The Simurgh&apos;s Son,Darth Marrs,1,4400,18,72000,2018-02-24,2018-09-30,2018-02-24,False,False
Sole Survivor without a radioactive wasteland to roam,freebiewitz,1,3400,10,36000,2018-02-24,2018-02-08,2018-02-24,False,False
Split,The Laurent,1,6500,64,417000,2018-02-24,2015-12-12,2018-02-24,False,False
A Subtle Knife,industrious,1,2100,164,281000,2018-02-24,2015-05-28,2018-02-24,False,False
Subtle Weaver,AtrenGraves,1,1300,13,18000,2018-02-24,2018-01-10,2018-02-24,False,False
A tale of cards Worm/Type Moon,ThatOneAttacker,1,1200,4,5900,2018-02-24,2018-02-23,2018-02-24,False,False
"Taylor Hebert, Pizzeria Tycoon",Emissary,18,13000,18,13000,2018-02-24,2018-12-22,2018-02-24,False,False
Taylor Hebert: Death Knight,Perihuman,1,1900,19,44000,2018-02-24,2016-09-17,2018-02-24,False,False
Taylor Varga,mp3.1415player,239,1400000,239,1400000,2018-02-24,2016-09-20,2018-02-24,False,False
Teatime with Jane,skyrunner,1,6800,9,42000,2018-02-24,2018-10-01,2018-02-24,False,False
Thaumaturgic Awakening,Xylix,1,10000,16,168000,2018-02-24,2016-02-21,2018-02-24,False,False
To Fill The Void,that1guy,1,2100,15,22000,2018-02-24,2018-10-12,2018-02-24,False,False
To Walk in Shadow,Marsyas,1,3900,19,75000,2018-02-24,2018-08-26,2018-02-24,False,False
Transparency,Sulfurado,7,28000,7,28000,2018-02-24,2018-02-17,2018-02-24,False,False
Unlimited Potential,Guardsman_Sparky,1,2300,32,42000,2018-02-24,2015-09-25,2018-02-24,False,False
Unpunished,Joko,10,65000,10,65000,2018-02-25,2018-08-23,2018-02-24,False,False
Vacancy,Foxtail,1,4900,3,11000,2018-02-24,2018-02-09,2018-02-24,False,False
Vagrant,HorizonTheTransient,1,1900,26,47000,2018-02-24,2018-12-10,2018-02-24,False,False
We Are Legion,RagnarokAscendant,43,102000,43,102000,2018-02-24,2018-12-10,2018-02-24,False,False
Well Traveled,Argentorum,1,2400,53,115000,2018-02-24,2016-02-16,2018-02-24,False,False
When Your Mother is Khepri,Veozar,2,3700,11,21000,2018-02-24,2018-01-20,2018-02-24,False,False
Who Made This Game?,Nano6243,5,28000,5,28000,2018-02-24,2018-01-17,2018-02-24,False,False
Wolf Spider,The Laurent,2,20000,50,338000,2018-02-24,2018-06-26,2018-02-24,False,False
Wonderland comes to Brockton Bay,Mglakoe,1,1100,5,5700,2018-02-24,2018-12-28,2018-02-24,False,False
The World&apos;s Strongest Hero,catfractal,1,4800,15,35000,2018-02-24,2018-01-30,2018-02-24,False,False
Being the Holy Grail is Suffering...,FacelessDoll,5,10000,19,34000,2018-02-24,2018-02-06,2018-02-24,True,False
The Buzzing,Wolfund,4,4500,19,22000,2018-02-24,2018-01-27,2018-02-24,True,False
Gamer!Worm Powerwank Skitter!Pan Fixfic Villain!MC that ends abruptly and is never finished,BreezyWheeze,2,9600,6,21000,2018-02-24,2018-02-20,2018-02-24,True,False
Mage Quest,Yuki no Yue,2,12000,79,80000,2018-02-24,2018-05-07,2018-02-24,True,False
Magical Girl Escalation Taylor,Silently Watches,1,1800,128,248000,2018-02-24,2016-04-11,2018-02-24,True,False
Nerveskitter,Grubleafeater,2,674,13,3500,2018-02-24,2018-02-04,2018-02-24,True,False
Shining Example,IKnowNothing,1,4900,26,99000,2018-02-24,2018-03-26,2018-02-24,True,False
The Taylor Made Quest,Totum,21,29000,21,29000,2018-02-24,2018-02-13,2018-02-24,True,False
Threat Quest : Playing With Nuclear Fire!,ultima333,1,958,21,9200,2018-02-24,2014-11-12,2018-02-24,True,False
Titanomachy: An Alt-Timeline Worm Organization Quest,physxman,1,1600,16,15000,2018-02-24,2018-12-24,2018-02-24,True,False
To The Vector...,Rocag,7,18000,7,18000,2018-02-24,2018-02-12,2018-02-24,True,False
WormFrame: The Third Dream,Cryptix,4,811,28,7000,2018-02-24,2018-01-12,2018-02-24,True,False
The Aether Guys,Axle,3,4700,3,4700,2018-02-17,2018-02-16,2018-02-17,False,False
A city upon a hill,yanzak,2,4000,2,4000,2018-02-17,2018-02-17,2018-02-17,False,False
Dissonance,Crestfallen Writer,3,4200,3,4200,2018-02-17,2018-02-17,2018-02-17,False,False
The Fourth Endbringer,Dull Silver,1,4500,1,4500,2018-02-17,2018-02-17,2018-02-17,False,False
GamerKiwi! Worm SI FanficMashup AU,PocketRikimaru,4,4000,4,4000,2018-02-17,2018-02-17,2018-02-17,False,False
"No Gods, No Kings, Only Man",Algaminarus,4,8500,4,8500,2018-02-17,2018-02-17,2018-02-17,False,False
Queen Of The Cards,Catamboc,5,24000,5,24000,2018-02-17,2018-02-17,2018-02-17,False,False
Rider,TigerTitian,5,7600,5,7600,2018-02-17,2018-02-17,2018-02-17,False,False
Strange Places and Brand New Faces,Vikaruss,2,2600,2,2600,2018-02-17,2018-02-17,2018-02-17,False,False
Stream of consciousness from the perspective of an oc,Ulakarrik,3,2200,3,2200,2018-02-17,2018-02-17,2018-02-17,False,False
A tale of cards Worm/Type Moon,ThatOneAttacker,1,1600,1,1600,2018-02-17,2018-02-17,2018-02-17,False,False
Tinker. Taylor. Soldier. Die.,BoSPaladin,3,5100,3,5100,2018-02-17,2018-02-17,2018-02-17,False,False
Together,Fcrants,1,1100,1,1100,2018-02-17,2018-02-16,2018-02-17,False,False
Transparency,Sulfurado,4,16000,4,16000,2018-02-17,2018-02-17,2018-02-17,False,False
Two Good Legs,Z.R. Stein,2,4400,2,4400,2018-02-17,2018-02-17,2018-02-17,False,False
Gamer!Worm Powerwank Skitter!Pan Fixfic Villain!MC that ends abruptly and is never finished,BreezyWheeze,3,6000,3,6000,2018-02-17,2018-02-17,2018-02-17,True,False
A Dovahkiin without Dragon Souls to spend,freebiewitz,48,141000,48,141000,2018-02-17,2018-04-08,2018-02-17,False,True
Lattehouse Funf - The Worm Slaughterhouse Nine Coffee Shop AU,frustratedFreeboota,2,1800,2,1800,2018-02-17,2018-02-17,2018-02-17,False,True
"Jump Ahead, Fall Back",6thfloormadness,1,2500,1,2500,2018-02-17,2018-02-17,2018-02-17,False,True
Arc summary,Delectable Gamer,1,5500,1,5500,2018-02-17,2018-02-17,2018-02-17,False,True
Stopping to Cheat,Dyranum,1,673,1,673,2018-02-17,2018-02-17,2018-02-17,False,True
In which Lung learns Kung Fu,freebiewitz,1,606,1,606,2018-02-17,2018-02-17,2018-02-17,False,True
The Girl in the Room,Discreet,1,9,1,9,2018-02-17,2018-02-17,2018-02-17,False,True
Do Dodo Dooo - DOO dodo Doo!,IAmARobot,1,118,1,118,2018-02-17,2018-02-17,2018-02-17,False,True
Knowledge is Power,Nemesis Proxy,1,1400,1,1400,2018-02-17,2018-02-17,2018-02-17,False,True
Yellow,Nemesis Proxy,1,1600,1,1600,2018-02-17,2018-02-17,2018-02-17,False,True
Not strong enough...,Chara Dreemurr,1,1200,1,1200,2018-02-17,2018-02-17,2018-02-17,False,True
A Path Divided,Rescind,1,13000,1,13000,2018-02-17,2018-02-17,2018-02-17,False,True
An Exchange of Views,skyrunner,1,2400,1,2400,2018-02-17,2018-02-17,2018-02-17,False,True
Blood Runs Thicker,SouthernWind,1,3200,1,3200,2018-02-17,2018-02-17,2018-02-17,False,True
Fifteen Years Later,SouthernWind,1,2600,1,2600,2018-02-17,2018-02-17,2018-02-17,False,True
I&apos;m No Hero,SouthernWind,1,2200,1,2200,2018-02-17,2018-02-17,2018-02-17,False,True
The Blackest Night,SouthernWind,1,1000,1,1000,2018-02-17,2018-02-17,2018-02-17,False,True
The Outcast,SouthernWind,1,3600,1,3600,2018-02-17,2018-02-17,2018-02-17,False,True
Worthy Adversaries,SouthernWind,1,1600,1,1600,2018-02-17,2018-02-17,2018-02-17,False,True
The Benefits of Being a Megalomaniacal Father,Inquisitor Halbread,1,4300,9,34000,2018-02-17,2016-08-08,2018-02-17,False,False
Deceased,Slenderbrine,1,1600,4,8400,2018-02-17,2016-11-23,2018-02-17,False,False
Trump Card,Ack,1,14000,33,158000,2018-02-17,2014-12-16,2018-02-17,False,False
We&apos;re All Mad Here,kamenhero25,1,1700,8,12000,2018-02-17,2016-06-27,2018-02-17,False,False
He Who Devours The World,Rigged Bomb,1,1000,45,63000,2018-02-17,2018-07-25,2018-02-17,True,False
Abaddon Born(e),PublicLee Speaking,2,11000,44,206000,2018-02-17,2018-10-04,2018-02-17,False,False
Agency,KindaApatheticButNice,2,9300,17,47000,2018-02-17,2018-11-05,2018-02-17,False,False
All-Father,Rhaegar,7,16000,7,16000,2018-02-17,2018-06-13,2018-02-17,False,False
Among the Ashes,Dyranum,1,6500,4,28000,2018-02-17,2018-01-26,2018-02-17,False,False
Anger Management,audriuska12,1,2500,17,25000,2018-02-17,2018-01-23,2018-02-17,False,False
The Beautiful Green Beast of Brockton Bay,Jsyrin,1,1200,5,5600,2018-02-17,2018-02-01,2018-02-17,False,False
A Beginner&apos;s Guide to Stealing Brockton Bay,Plasmadon,1,2600,3,8000,2018-02-17,2018-02-12,2018-02-17,False,False
Beneath The Mask,Videocrazy,8,12000,8,12000,2018-02-17,2018-11-13,2018-02-17,False,False
The Champion of the Outer Reaches,Mglakoe,1,1000,5,5500,2018-02-17,2018-12-19,2018-02-17,False,False
Collagen,T0PH4T,1,2800,19,47000,2018-02-17,2018-10-14,2018-02-17,False,False
Crystallized Apocalypse,QuickDeath007,2,1300,21,29000,2018-02-17,2018-11-01,2018-02-17,False,False
A daring synthesis,Ironypus,1,2400,11,19000,2018-02-17,2018-01-19,2018-02-17,False,False
Deus Vult,Spktr Alpha,1,1000,4,3300,2018-02-17,2018-02-04,2018-02-17,False,False
Divided,Para_Docks,1,4900,104,208000,2018-02-17,2016-06-25,2018-02-17,False,False
Doryongsa - Welcome to Wormxia,Vereor Nox,2,5600,6,17000,2018-02-17,2018-02-10,2018-02-17,False,False
Emissary,Noelemahc,31,167000,31,167000,2018-02-17,2018-06-03,2018-02-17,False,False
An Essence of Silver and Steel,James D. Fawkes,36,175000,36,175000,2018-02-17,2018-06-03,2018-02-17,False,False
Evil and Ham,QAI521,1,8700,4,24000,2018-02-17,2018-10-24,2018-02-17,False,False
Fault,Everents,1,4000,27,142000,2018-02-17,2018-07-23,2018-02-17,False,False
Freaky Friday,TheGreatGimmick,1,3500,8,23000,2018-02-17,2018-02-10,2018-02-17,False,False
Gastropod,Sulfurado,1,2900,12,29000,2018-02-17,2018-01-26,2018-02-17,False,False
A Girl And Her Monster,Zira,1,3900,8,17000,2018-02-17,2018-02-07,2018-02-17,False,False
The Green Ghost,xavier d luna,1,1900,12,38000,2018-02-17,2016-03-04,2018-02-17,False,False
Greg Veder vs The World,ZFighter18,35,90000,35,90000,2018-02-17,2018-12-30,2018-02-17,False,False
Half Thousand Acts,Akallas von Aerok,4,3800,58,73000,2018-02-17,2018-01-11,2018-02-17,False,False
Hearts Aflutter,Szept,1,2400,21,34000,2018-02-17,2016-03-15,2018-02-17,False,False
A Hero and His Witch,TheBlackLight,1,1100,32,44000,2018-02-17,2018-06-13,2018-02-17,False,False
Imperator,JonBerry,10,19000,28,52000,2018-02-17,2018-02-03,2018-02-17,False,False
L33T Gamer,Average Senator,1,1700,3,5600,2018-02-17,2018-02-15,2018-02-17,False,False
The Little Ship that Could,JGregory32,62,104000,62,104000,2018-02-17,2016-02-28,2018-02-17,False,False
Madgirl in a Wormverse,Richpad,1,3700,14,61000,2018-02-17,2018-11-20,2018-02-17,False,False
Mask,LightDarn,9,27000,9,27000,2018-02-17,2018-10-12,2018-02-17,False,False
Mauling Snarks,CmptrWz,79,349000,79,349000,2018-02-17,2018-09-04,2018-02-17,False,False
Megiddo,TheGoodSir,4,15000,4,15000,2018-02-17,2018-08-13,2018-02-17,False,False
Metastable,Tascion,2,4500,14,27000,2018-02-17,2018-01-01,2018-02-17,False,False
Mind the Gap,ultima333,1,1200,7,7100,2018-02-17,2017-01-22,2018-02-17,False,False
Monsters Within Us,UndyingRevenge,1,3500,4,12000,2018-02-17,2018-02-01,2018-02-17,False,False
Thunderstruck,Mr. Cloak,1,2300,5,10000,2018-02-17,2018-01-01,2018-02-17,False,False
"New Litter, Lucky Seven",ScottotheUnwise,1,2700,42,171000,2018-02-17,2018-09-05,2018-02-17,False,False
Nidhog,Mglakoe,1,914,8,11000,2018-02-17,2018-12-10,2018-02-17,False,False
On The Diet And Mating Habits of Elder Dragons,Vereor Nox,2,11000,19,101000,2018-02-17,2018-01-12,2018-02-17,False,False
Overpowered,Stravick Ovmahn,1,1700,21,43000,2018-02-17,2018-10-08,2018-02-17,False,False
Paranorms,Stravickan Ovmahn,1,1900,5,12000,2018-02-17,2018-01-18,2018-02-17,False,False
Phoning it in,dogbertcarroll,1,1700,22,48000,2018-02-17,2015-08-13,2018-02-17,False,False
Pick Your Poison,GameJunkie7,1,3400,29,97000,2018-02-17,2018-07-20,2018-02-17,False,False
Playing Hooky,Somewhat Disinterested,1,1800,23,59000,2018-02-17,2018-07-17,2018-02-17,False,False
Power Without Limit,TheFat1,2,6000,4,8600,2018-02-17,2018-02-10,2018-02-17,False,False
A Practical Guide to Escalation,NotZiz,3,4900,14,23000,2018-02-17,2018-04-23,2018-02-17,False,False
The Price of a Mile,Mrwizard,1,1500,11,15000,2018-02-17,2018-01-14,2018-02-17,False,False
A Prison of Glass,McSwazey,2,4600,41,73000,2018-02-17,2017-01-24,2018-02-17,False,False
Puella Magi Adfligo Vermis,Godwinson,5,18000,5,18000,2018-02-17,2018-07-27,2018-02-17,False,False
Queen Coordinator,ManMagnificent,1,2500,42,104000,2018-02-17,2018-12-09,2018-02-17,False,False
Enlightening Earth Bet,RedFoxDelta,1,1000,2,2300,2018-02-17,2018-01-07,2018-02-17,False,False
Skittering Radscorpions,RedFoxDelta,1,1100,6,4500,2018-02-17,2018-01-21,2018-02-17,False,False
Revenant,Songless,1,3600,44,155000,2018-02-17,2015-11-28,2018-02-17,False,False
Ring-Maker,LithosMaitreya,1,2700,78,196000,2018-02-17,2018-04-21,2018-02-17,False,False
Samyaza,ajf115,1,1900,8,19000,2018-02-17,2018-12-31,2018-02-17,False,False
Sefirot,Stravick Ovmahn,3,8500,9,22000,2018-02-17,2018-02-04,2018-02-17,False,False
Reality Intrudes,Selector,1,1000,8,14000,2018-02-17,2018-11-27,2018-02-17,False,False
Self Insertion,Istaran,3,2600,103,111000,2018-02-17,2018-06-24,2018-02-17,False,False
Setanta,Ritic,3,10000,150,730000,2018-02-17,2015-08-13,2018-02-17,False,False
Shadow of the Bay,jacobk,3,4700,3,4700,2018-02-17,2018-02-13,2018-02-17,False,False
Skittering Thief,ShayneT,1,2900,72,218000,2018-02-17,2018-11-19,2018-02-17,False,False
Sole Survivor without a radioactive wasteland to roam,freebiewitz,1,3700,9,32000,2018-02-17,2018-02-08,2018-02-17,False,False
Solitude,Reactor 2,1,1800,3,6700,2018-02-17,2018-02-02,2018-02-17,False,False
Tarnished Divinity,violetshadows,1,4700,4,18000,2018-02-17,2018-02-05,2018-02-17,False,False
Taylor gets a Bodyguard,Mglakoe,1,1600,6,9200,2018-02-17,2018-12-15,2018-02-17,False,False
"Taylor Hebert, Pizzeria Tycoon",Emissary,1,1100,18,13000,2018-02-17,2018-12-22,2018-02-17,False,False
Taylor Varga,mp3.1415player,239,1400000,239,1400000,2018-02-17,2016-09-20,2018-02-17,False,False
To Fill The Void,that1guy,1,1300,14,20000,2018-02-17,2018-10-12,2018-02-17,False,False
Unpunished,Joko,1,8000,10,65000,2018-02-17,2018-08-23,2018-02-17,False,False
Vacancy,Foxtail,1,4000,3,11000,2018-02-17,2018-02-09,2018-02-17,False,False
Vagrant,HorizonTheTransient,1,1500,25,45000,2018-02-17,2018-12-10,2018-02-17,False,False
VAINGLORIOUS,Numen,24,112000,24,112000,2018-02-17,2018-11-21,2018-02-17,False,False
Wagh Boss!,AlphaMoyer,1,2100,7,15000,2018-02-18,2018-10-23,2018-02-17,False,False
We Are Legion,RagnarokAscendant,42,99000,42,99000,2018-02-17,2018-12-10,2018-02-17,False,False
The Weaver Option,Antony444,1,10000,13,102000,2018-02-17,2016-08-23,2018-02-17,False,False
Weaverâs Adventures in Philly,asododsteel,1,3500,24,59000,2018-02-17,2016-05-27,2018-02-17,False,False
Well Traveled,Argentorum,1,1800,52,113000,2018-02-17,2016-02-16,2018-02-17,False,False
When Your Mother is Khepri,Veozar,2,3900,9,17000,2018-02-17,2018-01-20,2018-02-17,False,False
Who Made This Game?,Nano6243,5,28000,5,28000,2018-02-17,2018-01-17,2018-02-17,False,False
With Burning Yoki,TigerTitian,3,3000,20,21000,2018-02-17,2018-12-28,2018-02-17,False,False
With Grace and Elegance,YoshYoshYosh,1,3500,15,64000,2018-02-17,2018-11-15,2018-02-17,False,False
Wolf Spider,The Laurent,3,19000,46,306000,2018-02-17,2018-06-26,2018-02-17,False,False
The World&apos;s Strongest Hero,catfractal,3,7200,14,30000,2018-02-17,2018-01-30,2018-02-17,False,False
Y&apos;all Are Stupid,Jsyrin,1,1100,32,39000,2018-02-17,2018-11-18,2018-02-17,False,False
Being the Holy Grail is Suffering...,FacelessDoll,7,12000,13,22000,2018-02-17,2018-02-06,2018-02-17,True,False
The Buzzing,Wolfund,15,17000,15,17000,2018-02-17,2018-01-27,2018-02-17,True,False
Ear Worm,RexHeller,2,4300,6,9400,2018-02-17,2018-02-10,2018-02-17,True,False
Fistful of Cards,LordPanther14,3,4200,4,4700,2018-02-17,2018-02-16,2018-02-17,True,False
It Takes Time,Harbin,1,1100,21,22000,2018-02-17,2018-01-01,2018-02-17,True,False
KOOL: A Rooster Cocoa-Brawn Quest,maroon_sweater,1,902,18,17000,2018-02-17,2018-09-16,2018-02-17,True,False
Mage Quest,Yuki no Yue,1,1000,77,68000,2018-02-17,2018-05-07,2018-02-17,True,False
Magical Girl Escalation Taylor,Silently Watches,2,2500,127,247000,2018-02-17,2016-04-11,2018-02-17,True,False
The Mockshow Show!,Rhydeble,2,1900,41,71000,2018-02-17,2018-07-02,2018-02-17,True,False
Moonshot,Roarian,4,16000,4,16000,2018-02-17,2018-01-24,2018-02-17,True,False
Nerveskitter,Grubleafeater,1,321,10,2700,2018-02-17,2018-02-04,2018-02-17,True,False
Skittering Machines,Dark Wanderer,1,2200,18,34000,2018-02-17,2018-01-08,2018-02-17,True,False
Stheno Quest,helnae,1,433,12,13000,2018-02-17,2018-08-25,2018-02-17,True,False
Threat Quest : Playing With Nuclear Fire!,ultima333,1,1300,20,8300,2018-02-17,2014-11-12,2018-02-17,True,False
To The Vector...,Rocag,2,5100,5,14000,2018-02-17,2018-02-12,2018-02-17,True,False
WormFrame: The Third Dream,Cryptix,3,1100,24,6200,2018-02-17,2018-01-12,2018-02-17,True,False
A Beginner&apos;s Guide to Stealing Brockton Bay,Plasmadon,2,5300,2,5300,2018-02-10,2018-02-10,2018-02-10,False,False
Daniel,Yrael,5,4100,5,4100,2018-02-10,2018-02-10,2018-02-10,False,False
Doryongsa - Welcome to Wormxia,Vereor Nox,4,12000,4,12000,2018-02-10,2018-02-10,2018-02-10,False,False
Familiar of Crystals,QuickDeath007,5,6000,5,6000,2018-02-10,2018-02-10,2018-02-10,False,False
Not all servers run supercomputers...,Foxtail,2,732,2,732,2018-02-10,2018-02-10,2018-02-10,False,False
Freaky Friday,TheGreatGimmick,7,19000,7,19000,2018-02-10,2018-02-10,2018-02-10,False,False
Game-Master,FlyingWaffle,8,19000,8,19000,2018-02-10,2018-02-10,2018-02-10,False,False
Getting under my skin,Rooster,1,1100,1,1100,2018-02-10,2018-02-10,2018-02-10,False,False
L33T Gamer,Average Senator,1,1800,1,1800,2018-02-10,2018-02-10,2018-02-10,False,False
A Mad Devil Wrapped in Ribbons,gundamexia34,5,6400,5,6400,2018-02-10,2018-02-10,2018-02-10,False,False
Power Without Limit,TheFat1,2,2600,2,2600,2018-02-10,2018-02-10,2018-02-10,False,False
Predestined Friends,RahXephon,3,13000,3,13000,2018-02-10,2018-02-10,2018-02-10,False,False
Shadow of the Bay,jacobk,1,4700,1,4700,2018-02-10,2018-02-10,2018-02-10,False,False
Vacancy,Foxtail,1,2500,1,2500,2018-02-10,2018-02-09,2018-02-10,False,False
Ear Worm,RexHeller,4,5100,4,5100,2018-02-10,2018-02-10,2018-02-10,True,False
Fistful of Cards,LordPanther14,1,495,1,495,2018-02-10,2018-02-10,2018-02-10,True,False
To The Vector...,Rocag,3,9500,3,9500,2018-02-10,2018-02-10,2018-02-10,True,False
Character Selection,Chara Dreemurr,1,1800,1,1800,2018-02-10,2018-02-10,2018-02-10,False,True
Banking on Cash,Dyranum,1,753,1,753,2018-02-10,2018-02-10,2018-02-10,False,True
Torrid,Foxtail,1,268,1,268,2018-02-10,2018-02-10,2018-02-10,False,True
Wilt,Foxtail,1,4100,1,4100,2018-02-10,2018-02-10,2018-02-10,False,True
Justice,Chara Dreemurr,1,2000,1,2000,2018-02-10,2018-02-10,2018-02-10,False,True
Parawars,Rhydeble,1,1300,1,1300,2018-02-10,2018-02-10,2018-02-10,False,True
A False God,SouthernWind,2,1700,2,1700,2018-02-10,2018-02-07,2018-02-10,False,True
Punish,SouthernWind,1,3800,1,3800,2018-02-10,2018-02-10,2018-02-10,False,True
Administration,Cyborg0,1,7700,4,33000,2018-02-10,2016-07-19,2018-02-10,False,False
Broken Escalator,hiddenedge6969,1,879,5,3900,2018-02-10,2018-06-02,2018-02-10,False,False
Friends from the Void,chimera0205,2,1800,3,2200,2018-02-10,2018-10-22,2018-02-10,False,False
Gambit,Fantasy Ra,1,4300,41,154000,2018-02-10,2016-09-15,2018-02-10,False,False
I Am Skitter,BeaconHill,1,4300,13,30000,2018-02-10,2016-08-03,2018-02-10,False,False
Megiddo,TheGoodSir,1,5300,4,15000,2018-02-10,2018-08-13,2018-02-10,False,False
Unlimited Potential,Guardsman_Sparky,1,2500,31,40000,2018-02-10,2015-09-25,2018-02-10,False,False
Abaddon Born(e),PublicLee Speaking,2,11000,42,195000,2018-02-10,2018-10-04,2018-02-10,False,False
Among the Ashes,Dyranum,1,8900,3,21000,2018-02-10,2018-01-26,2018-02-10,False,False
Anger Management,audriuska12,2,4000,16,22000,2018-02-10,2018-01-23,2018-02-10,False,False
A Bad Name,Potato Nose,1,2400,54,137000,2018-02-10,2018-03-03,2018-02-10,False,False
Bakugou&apos;s Island,Niether,1,2000,3,5600,2018-02-10,2018-01-22,2018-02-10,False,False
The Beautiful Green Beast of Brockton Bay,Jsyrin,4,4400,4,4400,2018-02-10,2018-02-01,2018-02-10,False,False
The Bird Of Hermes,Grey Dragon,2,4300,87,208000,2018-02-10,2018-03-31,2018-02-10,False,False
Blame It on the Weatherman,Bubelah,12,27000,12,27000,2018-02-10,2018-01-06,2018-02-10,False,False
Breaking the Game,Dhagon,1,9000,6,44000,2018-02-10,2018-09-12,2018-02-10,False,False
Collagen,T0PH4T,18,44000,18,44000,2018-02-10,2018-10-14,2018-02-10,False,False
Containment Report,AeroVox,30,60000,30,60000,2018-02-10,2018-11-14,2018-02-10,False,False
COURAGE AND HONOR,Titanicmark2,3,6000,3,6000,2018-02-10,2018-01-31,2018-02-10,False,False
Crystallized Apocalypse,QuickDeath007,19,27000,19,27000,2018-02-10,2018-11-01,2018-02-10,False,False
A daring synthesis,Ironypus,10,16000,10,16000,2018-02-10,2018-01-19,2018-02-10,False,False
Definitions,acerak,1,2600,6,14000,2018-02-10,2018-01-30,2018-02-10,False,False
Deus Vult,Spktr Alpha,1,1000,3,2300,2018-02-10,2018-02-04,2018-02-10,False,False
Devoted Monster,Zira,5,11000,5,11000,2018-02-10,2018-02-04,2018-02-10,False,False
Divided,Para_Docks,1,1400,103,203000,2018-02-10,2016-06-25,2018-02-10,False,False
Don&apos;t Say Vampire,DeltaNovember,1,3400,35,140000,2018-02-10,2018-07-28,2018-02-10,False,False
